,price,bathrooms,sqft_living,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,q_99,q_95,Age_at_Sale,Year_since_Renovation,was_renovated
42,861990.0,2.75,3595,0,0,3,9,3595,0,98053,47.6848,-122.016,3625,5639,1,1,0,0,False
43,685000.0,1.0,1570,0,0,3,7,1570,0,98119,47.6413,-122.364,1580,2640,1,1,92,92,False
44,309000.0,1.0,1280,0,0,4,6,920,360,98058,47.4485,-122.175,1340,8808,1,1,55,55,False
45,488000.0,2.5,3160,0,0,3,8,3160,0,98019,47.7443,-121.977,3050,9232,1,1,11,11,False
46,210490.0,1.0,990,0,0,3,6,990,0,98023,47.3066,-122.371,1228,8840,1,1,49,49,False
47,785000.0,2.5,2290,0,0,4,9,2290,0,98007,47.6194,-122.151,2680,13685,1,1,33,33,False
48,450000.0,1.75,1250,0,0,4,7,1250,0,98115,47.6796,-122.301,970,5100,1,1,62,62,False
49,1350000.0,2.5,2753,1,2,5,9,2165,588,98070,47.4041,-122.451,2680,72513,1,0,62,62,False
50,228000.0,1.0,1190,0,0,3,7,1190,0,98148,47.4258,-122.322,1190,9364,1,1,59,59,False
51,345000.0,2.5,3150,0,0,4,8,1640,1510,98056,47.4934,-122.189,1990,9133,1,1,49,49,False
52,600000.0,1.75,1410,0,0,4,7,1000,410,98117,47.6808,-122.384,1410,4080,1,1,64,64,False
53,585000.0,1.75,1980,0,0,3,7,990,990,98117,47.6989,-122.369,1480,6738,1,1,34,34,False
54,920000.0,2.25,2730,0,0,3,8,2130,600,98105,47.6571,-122.281,2730,6000,1,1,88,88,False
55,885000.0,2.5,2830,0,0,3,9,2830,0,98105,47.6597,-122.29,1950,5000,1,1,19,19,False
56,292500.0,2.5,2250,0,0,3,7,2250,0,98042,47.3663,-122.114,2250,4500,1,1,6,6,False
57,301000.0,2.5,2420,0,0,3,8,2420,0,98042,47.3663,-122.122,2690,4750,1,1,12,12,False
58,951000.0,3.25,3250,0,4,4,8,3250,0,98008,47.588,-122.116,2960,11044,1,1,46,46,False
59,430000.0,3.0,1850,0,0,3,8,1850,0,98059,47.5059,-122.149,2270,8542,1,1,24,24,False
60,650000.0,2.25,2150,0,3,4,8,1590,560,98166,47.4336,-122.339,2570,18900,1,1,55,55,False
61,289000.0,1.75,1260,0,0,3,7,1260,0,98148,47.4366,-122.335,1290,8750,1,1,60,60,False
62,505000.0,1.75,2519,0,0,5,8,2519,0,98166,47.4428,-122.344,2500,9500,1,1,41,41,False
63,549000.0,1.75,1540,0,0,3,8,1540,0,98115,47.6765,-122.32,1580,3090,1,1,0,0,False
64,425000.0,2.25,1660,0,0,3,7,1110,550,98122,47.6113,-122.297,1440,4080,1,1,35,35,False
65,317625.0,2.75,2770,0,0,5,7,1770,1000,98144,47.5747,-122.304,1440,4000,1,1,89,89,False
66,975000.0,2.5,2720,0,0,3,10,2720,0,98004,47.5815,-122.192,2750,11049,1,1,25,25,False
67,287000.0,2.5,2240,0,0,3,7,2240,0,98001,47.3378,-122.257,2221,4557,1,1,9,9,False
68,204000.0,1.0,1000,0,0,4,7,1000,0,98042,47.3621,-122.11,1010,12635,1,1,46,46,False
69,1325000.0,2.25,3200,0,0,3,8,1600,1600,98004,47.6303,-122.215,3390,20158,1,0,49,49,False
70,1040000.0,3.25,4770,0,0,4,11,3070,1700,98005,47.6525,-122.16,3530,38917,1,1,41,41,False
71,325000.0,2.0,1260,0,0,4,7,1260,0,98034,47.7362,-122.179,1640,4745,1,1,43,43,False
72,571000.0,2.0,2750,0,0,5,7,2250,500,98125,47.7168,-122.287,1510,7807,1,1,98,98,False
73,360000.0,2.5,2380,0,0,3,8,2380,0,98038,47.3608,-122.036,2420,5000,1,1,9,9,False
74,349000.0,1.75,1790,0,0,5,7,1090,700,98042,47.3511,-122.073,1940,50529,1,1,50,50,False
75,832500.0,4.0,3430,0,0,4,10,2390,1040,98075,47.5822,-121.987,3240,35020,1,1,28,28,False
76,380000.0,1.75,1760,0,0,3,7,880,880,98008,47.6034,-122.125,1680,7500,1,1,58,58,False
77,480000.0,1.0,1040,0,0,3,7,1040,0,98116,47.5636,-122.394,890,5060,1,1,74,74,False
78,410000.0,1.0,1410,0,0,4,7,910,500,98133,47.7073,-122.34,1130,5693,1,1,58,58,False
79,720000.0,2.5,3450,0,0,3,10,3450,0,98010,47.342,-122.025,3350,39750,1,1,13,13,False
80,390000.0,2.5,2350,0,0,3,8,2350,0,98038,47.3512,-122.008,2350,5363,1,1,11,11,False
81,360000.0,2.5,1900,0,0,3,7,1900,0,98038,47.349,-122.031,1870,6405,1,1,22,22,False
82,355000.0,1.0,2020,0,0,3,7,1010,1010,98118,47.5474,-122.291,1720,6720,1,1,66,66,False
83,356000.0,1.5,1680,0,0,3,8,1680,0,98059,47.4811,-122.149,1850,8797,1,1,51,51,False
84,315000.0,1.0,960,0,0,3,6,960,0,98125,47.7264,-122.31,1570,7203,1,1,62,62,False
85,940000.0,1.5,2140,0,0,3,9,1900,240,98119,47.6337,-122.365,2020,4800,1,1,89,89,False
86,305000.0,2.25,2660,0,0,5,7,2660,0,98092,47.2909,-122.189,1590,8165,1,1,53,53,False
87,461000.0,3.25,2770,0,0,3,9,1980,790,98056,47.5228,-122.199,1900,7349,1,1,8,8,False
88,215000.0,2.25,1610,0,0,4,7,1610,0,98056,47.518,-122.194,1950,2025,1,1,35,35,False
89,335000.0,1.75,1030,0,0,3,7,765,265,98136,47.5394,-122.387,1030,1106,1,1,8,8,False
90,243500.0,2.5,1980,0,0,3,7,1980,0,98023,47.2897,-122.372,1980,7510,1,1,26,26,False
91,1099880.0,2.75,3520,0,0,4,10,3520,0,98199,47.6506,-122.391,2520,6250,1,1,14,14,False
92,153000.0,1.0,1200,0,0,3,7,1200,0,98023,47.322,-122.351,1350,10500,1,1,53,53,False
93,430000.0,1.5,1580,0,0,3,8,1290,290,98117,47.687,-122.386,1570,4500,1,1,75,75,False
94,700000.0,1.5,1580,0,0,3,8,1290,290,98117,47.687,-122.386,1570,4500,1,1,75,75,False
95,905000.0,2.5,3300,0,0,3,7,2390,910,98040,47.5873,-122.249,1950,6045,1,1,68,23,True
96,247500.0,1.75,1960,0,0,3,7,1960,0,98032,47.3576,-122.277,1750,15616,1,1,48,48,False
97,199000.0,1.5,1160,0,0,4,7,1160,0,98023,47.3036,-122.378,1160,6400,1,1,39,39,False
98,314000.0,1.75,1810,0,0,5,7,1210,600,98038,47.4109,-121.958,1650,135036,1,1,34,34,False
99,437500.0,2.5,2320,0,2,3,9,2320,0,98045,47.4838,-121.714,2550,35065,1,1,22,22,False
100,850830.0,2.5,2070,0,0,5,9,1270,800,98102,47.6415,-122.315,2200,4500,1,1,104,104,False
101,555000.0,2.0,1980,0,0,4,7,1440,540,98117,47.6775,-122.372,1610,3478,1,1,85,85,False
102,699950.0,2.25,2190,0,0,4,8,2190,0,98077,47.7731,-122.08,2570,47777,1,1,31,31,False
103,1088000.0,2.5,2920,0,0,3,8,2920,0,98004,47.5814,-122.196,2370,8113,1,1,64,4,True
104,290000.0,1.0,1210,0,0,3,7,1210,0,98058,47.4375,-122.184,1640,14910,1,1,60,60,False
105,375000.0,2.5,2340,0,0,4,8,1460,880,98058,47.4431,-122.133,2250,8162,1,1,37,37,False
106,460000.0,1.0,1670,0,0,4,7,1170,500,98117,47.6878,-122.38,1240,4005,1,1,75,75,False
107,188500.0,1.75,1240,0,0,4,8,1240,0,98198,47.3813,-122.322,1270,4966,1,1,29,29,False
108,680000.0,2.5,3140,0,0,4,10,3140,0,98077,47.7304,-122.082,2990,35001,1,1,24,24,False
109,470000.0,1.75,2030,0,0,4,7,2030,0,98052,47.6417,-122.109,2500,9433,1,1,72,72,False
110,597750.0,2.5,2310,0,0,3,8,2310,0,98027,47.5386,-122.053,1940,9636,1,1,30,30,False
111,570000.0,1.75,1260,0,0,5,6,700,560,98103,47.6823,-122.349,1380,3536,1,1,110,110,False
112,272500.0,1.75,1540,0,0,4,7,1160,380,98038,47.3624,-122.031,1540,11656,1,1,34,34,False
113,329950.0,1.75,2080,0,2,3,7,1080,1000,98108,47.5474,-122.295,2090,5500,1,1,43,43,False
114,480000.0,2.5,3230,0,3,3,9,2520,710,98001,47.3183,-122.253,2640,8517,1,1,13,13,False
115,740500.0,3.5,4380,0,0,3,8,2780,1600,98117,47.6981,-122.368,1830,6350,1,1,114,15,True
116,518500.0,3.5,1590,0,0,3,8,1590,0,98103,47.6824,-122.347,1620,3166,1,1,4,4,False
117,205425.0,1.0,880,0,0,4,6,880,0,98178,47.5009,-122.248,1190,6780,1,1,69,69,False
118,171800.0,2.0,1570,0,0,3,6,1570,0,98168,47.4965,-122.303,1880,9000,1,1,65,65,False
119,535000.0,1.0,1610,0,0,4,7,1610,0,98144,47.587,-122.294,1610,4040,1,1,90,90,False
120,660000.0,2.5,2400,0,2,3,8,1560,840,98177,47.7728,-122.386,2340,10856,1,1,51,51,False
121,391500.0,2.0,1450,0,0,3,7,1450,0,98034,47.7288,-122.226,1580,9104,1,1,27,27,False
122,395000.0,1.0,770,0,0,3,6,770,0,98117,47.6999,-122.364,1710,6000,1,1,62,62,False
123,445000.0,1.75,2100,0,0,5,7,1720,380,98118,47.5299,-122.266,1850,4400,1,1,90,90,False
124,770000.0,2.25,2910,0,0,3,9,2910,0,98052,47.6897,-122.098,2700,13992,1,1,24,24,False
125,1450000.0,2.75,2750,0,0,3,8,1980,770,98004,47.6141,-122.212,3060,11275,1,0,101,23,True
126,445000.0,2.25,2100,0,2,3,8,1620,480,98178,47.5091,-122.244,2660,8712,1,1,47,47,False
127,260000.0,2.25,2160,0,0,3,8,1360,800,98023,47.3129,-122.39,2090,8400,1,1,36,36,False
128,822500.0,3.5,2320,0,0,5,7,1720,600,98103,47.6763,-122.352,1700,4960,1,1,88,88,False
129,430000.0,2.5,2070,0,0,3,7,2070,0,98065,47.5319,-121.85,1970,3748,1,1,11,11,False
130,212000.0,1.75,1060,0,0,4,7,1060,0,98092,47.2761,-122.152,1420,7680,1,1,29,29,False
131,660500.0,2.25,2010,0,0,3,8,1440,570,98027,47.5343,-122.054,2060,9793,1,1,29,29,False
132,784000.0,3.5,3950,0,0,3,9,2460,1490,98052,47.697,-122.072,2480,88500,1,1,25,25,False
133,453246.0,2.5,2010,0,0,3,8,1390,620,98029,47.5517,-121.998,1690,1662,1,1,0,0,False
134,675000.0,3.5,2140,0,0,3,9,2140,0,98107,47.6734,-122.38,1540,2285,1,1,10,10,False
135,199000.0,1.75,1320,0,0,4,7,1320,0,98003,47.3257,-122.296,1550,19265,1,1,58,58,False
136,220000.0,1.75,2020,0,0,3,7,1010,1010,98003,47.3309,-122.299,1750,8140,1,1,46,46,False
137,452000.0,2.25,2590,0,0,4,8,1340,1250,98028,47.7689,-122.266,1550,10436,1,1,46,46,False
138,382500.0,1.0,1190,0,0,3,6,1190,0,98125,47.7135,-122.287,1060,5715,1,1,33,33,False
139,519950.0,2.25,1170,0,0,3,8,1170,0,98107,47.6722,-122.381,1350,1310,1,1,0,0,False
140,665000.0,1.0,1110,0,0,3,7,1110,0,98119,47.6338,-122.358,1170,3600,1,1,89,89,False
141,527700.0,2.5,2820,0,0,4,8,1550,1270,98006,47.5707,-122.128,2820,9375,1,1,46,46,False
142,205000.0,1.0,1610,0,0,4,7,1010,600,98058,47.4563,-122.171,1610,8579,1,1,53,53,False
143,420000.0,1.0,1060,0,0,4,7,940,120,98133,47.7144,-122.351,1560,7940,1,1,92,92,False
144,500000.0,2.25,2030,0,0,4,8,1380,650,98006,47.5495,-122.174,2230,8824,1,1,54,54,False
145,921500.0,2.5,3670,0,0,4,9,3670,0,98077,47.7421,-122.026,2840,87991,1,1,20,20,False
146,890000.0,1.0,2550,0,0,3,8,2370,180,98109,47.6354,-122.353,2200,4000,1,1,109,109,False
147,430000.0,2.5,2420,0,0,3,7,2420,0,98027,47.5262,-121.943,1940,193842,1,1,7,7,False
148,258000.0,2.0,2260,0,0,4,8,1130,1130,98032,47.3887,-122.286,1360,18000,1,1,54,54,False
149,511000.0,1.0,1430,0,0,3,7,980,450,98103,47.6873,-122.336,1450,4599,1,1,67,67,False
150,532170.0,2.0,1360,0,0,3,8,1360,0,98103,47.6838,-122.353,1500,3090,1,1,24,24,False
151,560000.0,1.0,1110,0,0,3,7,1110,0,98107,47.655,-122.359,1420,5000,1,1,68,68,False
152,282950.0,1.0,1250,0,0,4,7,1250,0,98003,47.3255,-122.304,1680,8633,1,1,61,61,False
153,2250000.0,3.25,5180,0,3,3,12,3540,1640,98006,47.562,-122.162,3160,9750,0,0,9,9,False
154,350000.0,1.0,700,0,0,3,7,700,0,98115,47.679,-122.3,1010,5100,1,1,72,72,False
155,215000.0,1.0,1180,0,0,4,7,1180,0,98058,47.4479,-122.176,1190,7669,1,1,47,47,False
156,650000.0,3.5,3960,0,0,3,9,2500,1460,98056,47.525,-122.172,2640,13675,1,1,18,18,False
157,320000.0,2.75,2640,0,0,3,8,1620,1020,98023,47.3135,-122.369,1980,7875,1,1,47,47,False
158,247000.0,2.0,1270,0,0,3,7,1270,0,98022,47.2086,-121.996,1160,7198,1,1,98,1,True
159,320000.0,1.75,1760,0,0,4,8,1760,0,98059,47.4715,-122.118,1730,11180,1,1,46,46,False
160,255000.0,2.25,2060,0,0,3,7,1030,1030,98146,47.4877,-122.335,1010,11680,1,1,52,52,False
161,438000.0,1.75,1780,0,0,3,7,1780,0,98034,47.7171,-122.193,1200,9660,1,1,53,53,False
162,900000.0,2.5,3400,0,0,3,10,3400,0,98075,47.6012,-122.023,3400,12601,1,1,15,15,False
163,441000.0,2.75,1910,0,0,3,7,1160,750,98034,47.7319,-122.224,1710,8152,1,1,35,35,False
164,420000.0,2.0,2020,0,0,4,7,1010,1010,98027,47.4582,-122.023,2110,36590,1,1,39,39,False
165,370000.0,1.75,1580,0,0,3,7,1180,400,98034,47.7209,-122.168,1640,7500,1,1,38,38,False
166,269950.0,1.75,1340,0,0,5,5,700,640,98198,47.408,-122.327,1830,9750,1,1,66,66,False
167,807100.0,2.5,2680,0,0,3,9,2680,0,98006,47.565,-122.125,2920,4500,1,1,16,16,False
168,653000.0,2.5,2680,0,0,4,8,1610,1070,98034,47.7028,-122.231,2480,8750,1,1,35,35,False
169,371500.0,2.0,1370,0,0,5,7,1370,0,98133,47.7458,-122.331,1770,7288,1,1,50,50,False
170,284000.0,1.75,1560,0,0,3,7,1560,0,98166,47.4776,-122.337,1070,7920,1,1,61,61,False
171,272000.0,1.75,2160,0,0,4,7,1670,490,98023,47.3026,-122.374,1930,7350,1,1,37,37,False
172,313000.0,1.5,1340,0,0,3,7,1340,0,98133,47.7658,-122.339,1480,7940,1,1,59,59,False
173,917500.0,2.5,3880,0,0,3,10,2570,1310,98033,47.6477,-122.182,3740,35230,1,1,31,31,False
174,673000.0,2.25,2590,0,0,4,8,2590,0,98006,47.5619,-122.125,2260,8335,1,1,34,34,False
175,425000.0,2.5,1120,0,0,3,8,820,300,98122,47.6106,-122.31,1590,1795,1,1,7,7,False
176,399950.0,2.75,1970,0,0,3,7,1320,650,98144,47.5868,-122.308,1280,2150,1,1,28,28,False
177,385000.0,1.0,1220,0,0,3,6,1220,0,98122,47.6101,-122.307,1200,4800,1,1,113,113,False
178,269950.0,1.5,1950,0,2,4,7,1320,630,98022,47.1976,-121.999,1950,8941,1,1,39,39,False
179,330000.0,1.0,1350,0,0,3,7,1060,290,98177,47.7224,-122.358,1540,8280,1,1,66,66,False
180,260000.0,2.5,1670,0,0,3,7,1670,0,98030,47.3505,-122.179,1670,6183,1,1,26,26,False
181,470000.0,3.0,2380,0,0,4,7,1680,700,98126,47.5384,-122.376,1410,5375,1,1,90,90,False
182,589000.0,3.0,2440,0,0,5,7,2440,0,98034,47.7044,-122.2,2290,9600,1,1,53,53,False
183,163500.0,1.5,1050,0,0,3,7,1050,0,98038,47.3848,-122.039,1050,3417,1,1,18,18,False
184,835000.0,2.75,3130,0,0,3,9,2140,990,98052,47.6993,-122.102,2260,9984,1,1,21,21,False
185,1095000.0,3.0,4090,0,2,4,10,2090,2000,98033,47.6627,-122.188,2540,10270,1,1,28,28,False
186,269000.0,1.75,1490,0,0,4,8,1100,390,98023,47.3099,-122.379,2190,8910,1,1,46,46,False
187,560000.0,2.5,1900,0,0,3,8,1900,0,98074,47.62,-122.043,2030,8744,1,1,27,27,False
188,615000.0,1.0,1330,0,0,4,6,1330,0,98103,47.65,-122.34,1330,4400,1,1,114,114,False
189,585188.0,2.25,2230,0,0,3,8,1430,800,98052,47.6647,-122.153,2230,9340,1,1,39,39,False
190,305000.0,1.75,1650,0,0,3,7,1220,430,98034,47.726,-122.191,1540,8400,1,1,37,37,False
191,166950.0,1.0,1190,0,0,3,6,1190,0,98058,47.4616,-122.184,1230,7980,1,1,55,55,False
192,799000.0,2.5,2140,0,0,4,8,2140,0,98040,47.5505,-122.219,2680,10083,1,1,55,55,False
193,400000.0,2.5,2180,0,0,4,7,1420,760,98133,47.7606,-122.336,1900,7818,1,1,52,52,False
194,230000.0,1.0,1060,0,0,3,7,1060,0,98155,47.7481,-122.3,1570,10228,1,1,66,66,False
195,256883.0,2.5,1690,0,0,3,8,1690,0,98023,47.2779,-122.347,2550,5001,1,1,11,11,False
196,423000.0,2.0,1970,0,0,5,7,1130,840,98108,47.5511,-122.312,1500,6480,1,1,94,94,False
197,465000.0,2.5,2150,0,0,3,8,2150,0,98126,47.5488,-122.372,1750,2385,1,1,7,7,False
198,440000.0,2.5,1910,0,0,3,7,1910,0,98024,47.5385,-121.911,2330,67268,1,1,18,18,False
199,385000.0,1.75,1350,0,0,4,7,1350,0,98038,47.4058,-121.994,1560,50965,1,1,45,45,False
200,210000.0,1.0,860,0,0,4,6,860,0,98056,47.5093,-122.184,1300,9514,1,1,72,72,False
201,297000.0,2.5,1940,0,0,3,8,1940,0,98042,47.3777,-122.165,2030,10450,1,1,20,20,False
202,470000.0,1.0,1010,0,0,3,7,1010,0,98107,47.675,-122.394,1680,5000,1,1,62,62,False
203,226500.0,1.5,1300,0,0,4,7,900,400,98023,47.3025,-122.37,1430,7500,1,1,38,38,False
204,274250.0,1.0,910,0,0,4,6,910,0,98059,47.4787,-122.158,1400,8040,1,1,53,53,False
205,840000.0,1.75,2480,0,0,4,9,1630,850,98040,47.5378,-122.219,2770,10744,1,1,48,48,False
206,677900.0,2.5,2440,0,0,3,8,2440,0,98052,47.7073,-122.114,2750,4587,1,1,4,4,False
207,425000.0,1.0,1010,0,0,3,7,1010,0,98116,47.5733,-122.381,1290,5000,1,1,100,100,False
208,180250.0,0.75,900,0,0,3,6,900,0,98166,47.4604,-122.339,1250,14280,1,1,73,73,False
209,464000.0,3.0,2300,0,0,3,7,1600,700,98133,47.7067,-122.343,1560,1312,1,1,94,20,True
210,320000.0,2.25,1550,0,0,3,8,1550,0,98038,47.354,-122.047,1630,6397,1,1,22,22,False
211,625504.0,2.25,1270,0,0,3,8,1060,210,98105,47.6647,-122.284,1160,1327,1,1,0,0,False
212,592500.0,2.5,2240,0,0,3,9,2240,0,98074,47.6143,-122.017,2520,12368,1,1,31,31,False
213,465000.0,2.5,2714,0,0,3,9,2714,0,98001,47.3185,-122.275,2590,18386,1,1,10,10,False
214,477000.0,2.75,1720,0,0,3,8,1720,0,98118,47.5458,-122.268,2130,8700,1,1,36,36,False
215,280000.0,1.0,850,0,0,3,6,850,0,98168,47.4889,-122.299,1100,14459,1,1,92,92,False
216,1505000.0,3.0,3300,0,3,3,9,1870,1430,98040,47.5673,-122.21,3836,20953,1,0,58,24,True
217,445838.0,2.5,2250,0,0,3,8,2250,0,98146,47.5133,-122.379,1320,5390,1,1,14,14,False
218,1072000.0,2.25,3900,0,3,3,8,1950,1950,98144,47.5884,-122.291,2580,5184,1,1,67,67,False
219,467000.0,1.5,1320,0,0,4,8,1320,0,98177,47.7145,-122.367,2120,12040,1,1,67,67,False
220,686000.0,2.5,2760,0,0,3,10,2760,0,98075,47.5836,-122.026,3070,8127,1,1,15,15,False
221,279950.0,2.0,1750,0,0,3,7,1350,400,98198,47.398,-122.299,1900,10125,1,1,53,53,False
222,527000.0,2.25,2330,0,0,3,8,2330,0,98011,47.7663,-122.215,1910,10055,1,1,27,27,False
223,325000.0,2.25,2220,0,0,4,8,1780,440,98030,47.3758,-122.217,2080,9583,1,1,48,48,False
224,328000.0,2.25,2020,0,0,3,7,2020,0,98038,47.3828,-122.023,2020,8031,1,1,20,20,False
225,390000.0,2.25,1250,0,0,5,7,1250,0,98146,47.5123,-122.373,1280,7392,1,1,72,72,False
226,479950.0,2.0,1510,0,0,3,8,1510,0,98053,47.7076,-122.013,1640,6009,1,1,10,10,False
227,264950.0,2.25,1720,0,0,4,7,1120,600,98023,47.2922,-122.371,1510,9753,1,1,36,36,False
228,235000.0,1.0,1430,0,0,4,7,980,450,98031,47.4075,-122.214,1960,13068,1,1,54,54,False
229,516500.0,2.5,1480,0,0,3,7,1480,0,98053,47.6794,-122.034,2250,4729,1,1,11,11,False
230,655000.0,1.75,1450,1,4,3,7,1230,220,98166,47.4497,-122.375,2030,13193,1,1,100,37,True
231,500000.0,2.75,2280,0,0,5,7,2280,0,98059,47.5218,-122.164,2280,15347,1,1,54,54,False
232,315000.0,2.75,2940,0,0,3,8,1780,1160,98023,47.3103,-122.339,2120,8236,1,1,36,36,False
233,213000.0,1.0,1000,0,0,3,6,1000,0,98024,47.5687,-121.899,1150,13702,1,1,53,53,False
234,475000.0,1.5,2480,0,0,5,7,1620,860,98108,47.5575,-122.303,2090,4800,1,1,67,67,False
235,1025000.0,4.0,3760,0,0,3,10,3760,0,98033,47.6489,-122.183,3430,35096,1,1,31,31,False
236,416000.0,2.0,2220,0,0,5,7,1640,580,98010,47.3459,-121.95,2070,80100,1,1,39,39,False
237,410000.0,1.0,1970,0,0,3,7,1670,300,98122,47.6136,-122.303,1510,4740,1,1,111,10,True
238,800000.0,3.5,3830,0,0,3,10,3530,300,98077,47.7641,-122.023,2920,148539,1,1,21,21,False
239,472000.0,2.5,4410,0,2,4,9,2350,2060,98003,47.3376,-122.324,2600,13988,1,1,49,49,False
240,225000.0,1.75,1430,0,0,4,7,1430,0,98003,47.3173,-122.319,1190,8640,1,1,46,46,False
241,210000.0,1.0,830,0,0,3,6,830,0,98126,47.5308,-122.376,830,4960,1,1,74,74,False
242,455000.0,1.0,1430,0,0,2,7,1430,0,98115,47.6727,-122.299,1450,3750,1,1,90,90,False
243,225000.0,1.0,1300,0,0,4,6,1300,0,98002,47.3221,-122.216,1260,8316,1,1,61,61,False
244,480000.0,1.0,1030,0,2,4,7,790,240,98103,47.6779,-122.353,1390,3060,1,1,96,96,False
245,363000.0,2.5,2740,0,0,3,9,2740,0,98023,47.3076,-122.395,2570,10377,1,1,25,25,False
